question,answer,source,theme
How do I terminate a marriage?,"Requests to annul or terminate a marriage must be filed via family court, not through the City Clerk's office.","City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
What same-sex marriage law applies in Massachusetts?,"In 2004, Massachusetts became the first state to allow same-sex marriages. Marriage licenses in Somerville are available to all couples regardless of gender.","City Clerks Quick Reference Training Guide 2024.docx, Applying for a Marriage License section",City Clerk
What happens if I don't pay a non-criminal ticket?,"After 3+ months past due, you'll receive an 'Intent to Demand' notice (adds $18 fee). If still unpaid, you'll get an 'Intent to Lien' notice (adds $75 lien fee). The City can place a lien on your property. Properties with outstanding tickets cannot receive a Certificate of Good Standing needed for municipal licenses/permits.","City Clerks Quick Reference Training Guide 2024.docx, Intent to Demand/Lien section",City Clerk
Can I request an investigation of a non-criminal ticket with a lien notice?,"Yes, even though tickets are no longer eligible for appeal, you may request an investigation if: ticket photo confirms it was issued to the wrong address (311 contacts issuing officer), ticket was previously paid (provide proof), you didn't own property when issued, or ticket was previously dismissed/abated (provide decision letter or hearing date/time). The Clerk's office will investigate and follow up.","City Clerks Quick Reference Training Guide 2024.docx, Intent to Demand/Lien section",City Clerk
How do I get a dog license?,Constituents may file for a dog license at the City Clerk counter at 93 Highland Ave. Dogs must be licensed and vaccinated per Somerville ordinances.,"City Clerks Quick Reference Training Guide 2024.docx, Licenses & Other Services section",City Clerk
How do I file a business certificate (DBA)?,Constituents may file a business certificate at the City Clerk counter at 93 Highland Ave.,"City Clerks Quick Reference Training Guide 2024.docx, Licenses & Other Services section",City Clerk
What business licenses are available through the City Clerk?,"The City Clerk's office facilitates applications for numerous business licenses including: Auctioneer, Automatic Amusement, Billiards and Bowling, Bottle Redemption Center, Bus Route, Business Certificate (DBA), Business License, Closing out Sale, Constable, Dog Kennel, Drain Layer, Extended Operating Hours, Flammables, Fortune Teller, Garage, Grant of Location, Hawker Peddler, Livery, Lodging House, Mobile Food Vendor, Newsrack, Open Air Vendor, Optometrist Registration, Osteopath Registration, Outdoor Goods, Outdoor Parking, Physicians Registration, Public Events, Raffle & Bazaar, Secondhand dealer, Sign or Awning, Small Wireless Facility, Sworn Weigher, Taxi Medallion, Taxi Stand, Transient Vendor, and Used Car Dealer licenses. Applications must be submitted online via Citizenserve portal and reviewed by City Council.","City Clerks Quick Reference Training Guide 2024.docx, Licenses table",City Clerk
What is the Licensing Commission?,"The Somerville Licensing Commission is responsible for issuing licenses for restaurants (with alcohol), common victualers (restaurants without alcohol), package stores, private clubs, farmer pourers (breweries, distilleries, wineries), inns, entertainment providers, special alcohol providers, special farmer wineries, recreational marijuana dealers, other marijuana businesses (except medical), and outdoor seating on public way. Contact: Andrea Ramos Torres, x4107.","City Clerks Quick Reference Training Guide 2024.docx, Licensing Commission section",City Clerk
What happens if a business violates Licensing Commission rules?,"The Licensing Commission hears complaints about licensees submitted by public safety officials, elected officials, or the general public. Complaints can address violations of Commission rules, City ordinances, or State laws. If a licensee is found in violation after investigation and public hearing, sanctions may include limitations on operating hours, suspension of the license, or revocation of the license.","City Clerks Quick Reference Training Guide 2024.docx, Licensing Commission section",City Clerk
What is a Certificate of Good Standing?,A Certificate of Good Standing is a document from the City showing that a property has no outstanding tickets or violations. It is needed to receive a municipal license or permit.,"City Clerks Quick Reference Training Guide 2024.docx, Non-Criminal Tickets section",City Clerk
What are the City Clerk's office hours and location?,"The City Clerk's office is located at 93 Highland Ave, 1st floor (left at Welcome Desk), Somerville, MA 02143. Hours are Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, and Friday 8:30am-12:30pm. Phone: 617-625-6600 ext. 4100. Director: Kimberly Wells, x4110.","City Clerks Quick Reference Training Guide 2024.docx, page 1",City Clerk
How do I pay or appeal a non-criminal ticket?,"You can pay online at somervillema.gov/online, by mail to the City Clerk's office, in the silver payment lockbox at City Hall's front entrance, or in person (cash, check, or credit card). To appeal within 21 days: submit online, mail a letter with documentation, or check the hearing request box on the ticket. If you pay the ticket, you cannot appeal. Constituents can request a phone hearing.","City Clerks Quick Reference Training Guide 2024.docx, Paying or Appealing section",City Clerk
How do I register a domestic partnership in Somerville?,"To register a domestic partnership, you must be 18+ years old and mentally competent. Apply in person at the City Clerk's office with government-issued photo ID. The fee is $50. Somerville's ordinance (effective June 29, 2020) uniquely allows more than 2 individuals to register together. Partnerships can be terminated by death of a partner or by filing a Termination Statement.","City Clerks Quick Reference Training Guide 2024.docx, Registering a Domestic Partnership section",City Clerk
How do I terminate a domestic partnership?,"Domestic partnerships can be terminated in two ways: (1) The death of a domestic partner immediately terminates the domestic partnership for all partners, or (2) By filing a Domestic Partnership Termination Statement with the City Clerk.","City Clerks Quick Reference Training Guide 2024.docx, Registering a Domestic Partnership section",City Clerk
"How can I obtain a certified copy of a birth, death, or marriage certificate?","You can order vital records in-person (generally issued immediately), online at somervillema.gov (Payments > Get Vital Records), or by mail. The cost is $15 per copy. Online orders have an additional $1 service charge and take up to 10 days. Mail requests require the person's name, date of event, requestor's contact info, self-addressed stamped envelope, and $15 payment.","City Clerks Quick Reference Training Guide 2024.docx, Vital Records section",City Clerk
What payment methods are accepted for vital records?,"In-person: cash, check/money order, or credit card (Visa, Mastercard or Discover only). Online: credit card or electronic funds transfer (nonrefundable even if record not found). By mail: check or money order (payment returned if record not on file).","City Clerks Quick Reference Training Guide 2024.docx, Vital Records section",City Clerk
What government ID is required for vital records requests?,"A government issued photo ID must be provided if parents were not married at the time of birth, or if the record is impounded. Impounded documents are open to inspection by the court, attorneys of record and the parties involved but not the public.","City Clerks Quick Reference Training Guide 2024.docx, Vital Records section",City Clerk
How long does it take to receive vital records by mail?,Records will be sent via US Mail within 10 days if requested online or by mail.,"City Clerks Quick Reference Training Guide 2024.docx, Vital Records section",City Clerk
What is the Traffic Commission?,The Traffic Commission is a city body that the Parking Department supports. The Commission helps shape city road use regulations and works collaboratively with the Parking Department and other city departments.,"New Hire Training PPT.pdf, Parking Training - Who They Work With slide",City Government
What does CityTV do?,"CityTV provides 24/7 on-demand access to City information, legislative/municipal meetings, events, athletics, announcements, and emergency messaging via two stations (GovTV government and EdTV educational), YouTube channels, e-bulletin board (The Wheel), city website, social media, and streaming. They provide meeting documentation required by law and internal video services. Director: Steve DeCarlo, x2617.","Communication Quick Reference Training Guide 2024.docx, CityTV section",Communications
What is GovTV and EdTV?,"GovTV and EdTV are Somerville's two City TV stations that make up two-thirds of the PEG triad (Public, Education, and Government) in municipal cable television access. GovTV provides government programming and EdTV provides educational programming.","Communication Quick Reference Training Guide 2024.docx, CityTV section",Communications
What does the Communications and Community Engagement Department do?,"CCE maintains two-way communication between the City and community. They provide outgoing information on emergencies, preparedness, services, programs, civic processes, meetings, initiatives, events, and policies. They facilitate opportunities for comment, feedback, requests, suggestions, and discussion. CCE serves all City departments while aiming to ensure equitable access for all residents.","Communication Quick Reference Training Guide 2024.docx, introduction",Communications
Who should I contact for media inquiries?,"All media inquiries from major news, local news, school newspapers, citizen journalists, or film industry should be directed to the media team at media@somervillema.gov. Contact Grace Munns, Deputy Director (Mobile: 781-823-9386, Office: x2120) or Denise Taylor, Director (Mobile: 857-523-9905, Office: x2103).","Communication Quick Reference Training Guide 2024.docx, Media Requests section",Communications
What are CCE Department hours and location?,"Located at 93 Highland Ave, Somerville, MA 02143. Hours: Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, Friday 8:30am-12:30pm. Phone: 617-625-6600 ext. 2600. Email: media@somervillema.gov. CCE Director: Denise Taylor, x2103. Deputy Director: Grace Munns, x2103.","Communication Quick Reference Training Guide 2024.docx, page 1",Communications
Is Somerville Media Center affiliated with the City?,"No. SMC is not affiliated with the City of Somerville, but is independent, supported by grants funding, through revenues derived from cable television franchise fees, and the support of viewers.","Communication Quick Reference Training Guide 2024.docx, Somerville Media Center section",Communications
How do I refer someone to SomerViva for assistance?,"Submit a referral through the Hub Connect system. The link is in the QAlert 'SomerViva Office of Immigrant Affairs inquiry' prompt. Click 'Apply' in upper right, then complete the form with: full name, preferred language, country of origin, household members, date of arrival in MA, detailed service description. Read the consent statement to the caller before submitting. SOIA receives an email and the constituent gets follow-up info.","Communication Quick Reference Training Guide 2024.docx, SOIA Referral Process section",Community Services
Who can submit referrals to SomerViva?,"Anyone can refer people to SomerViva through Hub Connect including: Constituent Services/311 Staff, City colleagues with or without a FindHelp staff account, local non-profits, residents on behalf of other residents, and residents on behalf of themselves.","Communication Quick Reference Training Guide 2024.docx, SOIA Referral Process section",Community Services
When should new immigrants to Somerville be reported to SOIA?,"It is imperative that SOIA is notified of any new immigrants (new arrivals) to Somerville. Whether providing direct services or simply learning they are residing or spending most of their day in Somerville, notify Maria (mnagel@somervillema.gov), Nikki (nspencer@somervillema.gov), and Denise (dtaylor@somervillema.gov) via email as soon as possible.","Communication Quick Reference Training Guide 2024.docx, SOIA Referral Process section",Community Services
What are the SomerViva staff positions?,"Legal Services Coordinator & Immigrant Policy Analyst: Mari Muti, x2619. Service Coordinators: Spanish - Francia Reyes (x2624), Portuguese - Rafael Peruzzo (x2123), Haitian Creole - Leptune Paul (x2622), Nepali - Parshu Phuyal (x2610), Chinese - Yi Lam (x2626). Deputy Director/Language Justice Coordinator: Meredith Gamble, x2623.","Communication Quick Reference Training Guide 2024.docx, SOIA Staff section",Community Services
What is SomerViva: Office of Immigrant Affairs?,"SomerViva enhances wellbeing and equity through programs, services, and policies facilitating successful inclusion of immigrant residents and workers. They connect immigrants and multilingual neighbors with local government, resources including city services, food/rental assistance, small business support, and legal assistance. They provide multilingual information and interpretation services. Located at 42 Cross St. Director: Maria Teresa Nagel, x2621.","Communication Quick Reference Training Guide 2024.docx, SomerViva section",Community Services
What does the Buildings Division do?,"The Buildings Division maintains City and School buildings and custodial services. They respond to repair requests, snow clearing, and custodial requests. They coordinate furniture moves, deliveries for events, flag and banner installations, and provide custodial services. They respond to emergency repairs within 24 hours and priority requests within 4 days.","DPW INFO Quick Reference guide 2024.docx, Buildings section; New Hire Training PPT.pdf",DPW
What does the Electrical Lights & Lines Division do?,"The division maintains streetlights, traffic signals, utility poles, manages flashing blue lights during snow emergencies, and partners with contractors for complex electrical repairs. They repair traffic/pedestrian signals, streetlights, utility poles/lines, electrical & fire boxes, and blue snow flashing signals.","DPW INFO Quick Reference guide 2024.docx, Electrical Lights and Lines section; New Hire Training PPT.pdf",DPW
What does the Grounds Division do?,"The Grounds Division maintains parks, playgrounds, fields, and public green spaces. They oversee irrigation, water features, and landscaping. They handle tree trimming and damage cleanup, maintain athletic fields and lighting, and provide mowing and fall cleanup services.","DPW INFO Quick Reference guide 2024.docx, Grounds section; New Hire Training PPT.pdf",DPW
What does the Highway Division do?,"The Highway Division handles potholes, sidewalks, graffiti removal, illegal dumping, dead animal removal, downed tree limbs. Seasonal responsibilities include snow plowing, salting, street sweeping, and Christmas tree pickup. On-call staff (Report Man) handles after-hours emergencies. Twenty-four hours a day, seven days a week, Highway personnel is available to address immediate safety concerns.","DPW INFO Quick Reference guide 2024.docx, Highway section; New Hire Training PPT.pdf",DPW
What does the Sanitation Division do?,"The Sanitation Division manages trash, recycling, yard waste, and hazardous materials collection and disposal. They coordinate curbside collection, oversee vendor compliance, handle bulk pickup, white goods, and electronic waste. They inform the public how to recycle, provide hazardous waste drop-off programs, and distribute trash/recycle bins to residents.","DPW INFO Quick Reference guide 2024.docx, Sanitation section; New Hire Training PPT.pdf",DPW
When must I clear my sidewalk after snow?,"Sidewalks must be cleared within 6 daylight hours after snow stops falling. Per state ADA requirements and City ordinance, sidewalks must be shoveled to a minimum of 42 inches wide to allow wheelchair passage. For properties with curb cuts, ramps, or access points, property owners are responsible for shoveling proper pathways for access.","DPW INFO Quick Reference guide 2024.docx, Sidewalk not shoveled/treated section; DPW Training Manual 2024.docx",DPW
What are the fines for not shoveling sidewalks?,"Residential (1-3 family): 1st offense $100, 2nd offense $200, 3rd and subsequent $300. Residential (4+ units) and Commercial: 1st offense $150, 2nd and subsequent $300.","DPW INFO Quick Reference guide 2024.docx, Sidewalk snow fines table",DPW
Can I put snow from my driveway into the street?,"No. Snow or ice is generally prohibited from being placed in the street per Sec. 12-9. Fines for residential (1-3 family): 1st offense $100, 2nd offense $200, 3rd and subsequent $300. Residential (4+ units) and commercial: 1st offense $150, 2nd and subsequent $300.","DPW INFO Quick Reference guide 2024.docx, Snow fines table",DPW
When is a snow emergency declared?,"A snow emergency is declared when it is forecasted 4+ inches will accumulate over a short period. Snow emergency regulations are put in place four hours prior to when snow is predicted to start. Where possible, residents are given more than four hours' notice.","DPW INFO Quick Reference guide 2024.docx, Snow Operations section",DPW
What are the trash collection fines?,"Residential properties: 1st offense $50, 2nd offense $100, 3rd and subsequent offenses $300. Commercial properties (7+ residential units, businesses or organizations): 1st offense $65, 2nd offense $125, 3rd and subsequent offenses $300.","DPW INFO Quick Reference guide 2024.docx, Waste Collection Guidelines; DPW Training Manual 2024.docx",DPW
How do I schedule a TV or computer monitor pickup?,Contact 311 by 3:45PM one business day before your regular trash collection day to schedule a free curbside pickup (maximum 2 TVs/monitors per week). The City collects these as hazardous material at no charge. You can also drop them off at the DPW yard weekdays 8:30AM-12PM or 1PM-3:30PM with proof of residency.,"DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Electronic Waste section; New Hire Training PPT.pdf",DPW
What can I bring to hazardous waste events?,"You can bring oils, paint, cleaners, antifreeze, pesticides, fluorescent lightbulbs, and rechargeable batteries. Events are held first Saturday of each month April-November, 9AM-12PM at DPW Yard. Bring up to a trunkful (or 25 gallons) with proof of residency. Waste must be in closed/sealable, non-leaking containers and properly identified.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Hazardous Waste section",DPW
How do I dispose of tires?,"Tires are hazardous material and cannot be disposed with regular trash or collected as hazardous waste. However, constituents may bring up to 4 car tires for disposal to the DPW yard. The rims must be removed. Proof of residency is required.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Hazardous Waste section",DPW
What are DPW's hours and location?,"The DPW is located at 1 Franey Rd (behind Trum Field), Somerville, MA 02145. Hours are Monday-Friday 8AM-4PM. Phone: 617-625-6600 ext. 5100. Drop-off is available 8:30AM-12PM and 1PM-3:30PM with two-hour non-permit parking on Broadway.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Location & Hours",DPW
What is the snow plowing priority order?,"Streets and public walkways are plowed in this order: Main roads/cross streets/bus routes, hospital hills, schools, public bus stops/ramps/bridges, city squares (including traffic islands), side streets, public sidewalks abutting municipal property including schools, bus route sidewalks and crosswalks, public sidewalks abutting private properties.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Snow Operations section",DPW
When can I put my trash and recycling out for collection?,Trash and recycling may be placed on the curbside no earlier than 4:00PM the day before collection and no later than 7:00AM the morning of collection. Barrels must be removed from the curb no later than 7PM the day of collection to avoid a ticket.,"DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Waste Collection Guidelines",DPW
What is the Waste Wizard?,"The Waste Wizard is a tool at somervillema.gov/wastewizard where the public may confirm how to dispose of a specific item, check their trash/recycling pick-up schedule and street sweeping schedule, and sign up for alerts. Residents can ask how to dispose of just about anything in their homes. Note: operated by a third-party vendor so the city cannot vouch for its accuracy and dependability.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Waste Wizard section",DPW
How much does it cost to dispose of a large appliance?,"Large appliances (air conditioners, dryers, washers, refrigerators, stoves, water heaters) require a $25 White Goods sticker per item. Stickers can be purchased online, at the DPW (check or money order), or at City Hall (cash, check, or credit card). Refrigerator doors must be removed before placing on the sidewalk. Schedule pickup through 311 by 3:45PM one business day before collection.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, White Goods section; New Hire Training PPT.pdf",DPW
When is yard waste collected?,"Yard waste is collected mid-April through the first week of December on designated weeks. Collection is weekly for the first 6 weeks and last few weeks of the season, and alternating weeks during summer/fall. Yard waste must be in brown paper bags, barrels with 'Yard Waste' stickers, or tied bundles (up to 10 bags/barrels). Check the Waste Wizard at somervillema.gov/wizard for schedule.","DPW INFO Quick Reference guide 2024.docx; DPW Training Manual 2024.docx, Yard Waste section; New Hire Training PPT.pdf",DPW
How do I report illegal dumping or abandoned property?,"Call 311 to report items abandoned or illegally dumped on sidewalk, street, park or playground. DPW removes most items by normal trash collection day but generally within 1 business day if they pose public safety hazard. The report protects property owner from being cited. Bicycles reported as abandoned are monitored for 15 days before removal, then held at DPW for several months so owner can claim.","DPW Training Manual 2024.docx, Abandoned Property section",DPW
How long does it take for a city arborist to review a sick or dead tree report?,"City arborists, who work for OSPCD, will review all reports of sick or dead city trees to determine if tree needs to be added to the to-be-removed list. The review can take up to 30 days.","DPW Training Manual 2024.docx, Arborists section",DPW
What does the Buildings Division do during snow emergencies?,"Buildings plows, salts, sands and shovels all schools, municipal buildings, and municipal lots during a snowstorm for safe access for the public and municipal employees. Submit 'Snow removal request' or 'Salting request' as appropriate through 311.","DPW Training Manual 2024.docx, Buildings - Snow Operations section",DPW
How do I get a trash or recycling cart?,"The City provides free 64-gallon trash barrels/carts/totters per unit to residential properties up to 6 units. Single family gets 1 recycling cart, 2-3 family gets 2 carts, 4-6 family gets 3 carts. As of 2023, city provides one cart per residential unit upon request. Contact 311 to request new or replacement carts. Generally fulfilled within 2 weeks if available.","DPW Training Manual 2024.docx, City issued carts section",DPW
How much does a replacement trash or recycling cart cost?,"The first replacement cart is free, but a $50 fee is charged for subsequent replacements. Commercial customers and residents who wish additional carts may purchase them at the DPW for $50.","DPW Training Manual 2024.docx, City issued carts section",DPW
Where can I find my trash or recycling cart serial number?,"Trash carts have a unique serial number in the front of the cart in the flat area directly below the cover. Most trash cart serial numbers begin with letter T, newer ones may begin with different letter. Recycling carts are blue with green flip top. Most cart serial numbers begin with letter G, newer ones may start with another letter.","DPW Training Manual 2024.docx, City issued carts section",DPW
Can I use my own barrel for trash?,"Yes. Constituents may use a non-city issued barrel to dispose of overflow trash. Privately-owned barrels must have a waterproof and airtight cover. As barrels must weigh less than 50lb for collection, the city recommends purchasing a 32-gallon barrel if needed (city-issued barrels are 64-gallon).","DPW Training Manual 2024.docx, City issued carts section",DPW
What are Big Belly waste containers?,"Big Belly smart waste & recycling stations are solar-powered, sensor-equipped containers that communicate real-time status to streamline waste management operations. DPW installs these along with traditional black iron decorative barrels on public property. DPW empties these barrels on a set schedule and as needed, and cleans any spills on the sidewalk.","DPW Training Manual 2024.docx, City permanent waste containers section",DPW
Can I compost in Somerville?,"While Somerville encourages residents to compost, DPW does not currently have composting tumblers for purchase. Rodent-resistant composters can be purchased at local hardware stores. The city does not accept composting for collection. Constituents who compost must use it for gardening needs or arrange for private disposal.","DPW Training Manual 2024.docx, Composting section",DPW
How do I report a damaged or broken cart?,"Submit 'Damaged/broken trash cart' or 'Damaged/broken recycling cart' request through 311. Include cart number, damage details, and regular collection day. Sanitation notifies constituent when replacement cart is dropped off. Constituent may place damaged cart with 'broken take as trash' sign on next trash day.","DPW Training Manual 2024.docx, Damaged/Broken Carts section",DPW
How do I report a dead animal?,"Call 311 to report dead animals on public property (street, sidewalk, island, parks/playgrounds, municipal lots, exterior of city/school buildings). Highway staff removes them generally same day. Identify what kind of animal and exact location (not just address but specific location like 'on sidewalk next to telephone pole'). A photo can be added. Dead animals on private property can be disposed as trash or moved to sidewalk for DPW pickup. Call Report Man at 617-590-3570 for after-hours emergencies.","DPW Training Manual 2024.docx, Dead Animals section",DPW
What happens to dead domestic animals?,DPW brings dead domestic animals to the Animal Control kennel where they are held for at least a month in case the animal is reported missing.,"DPW Training Manual 2024.docx, Dead Animals section",DPW
How do I report a downed tree branch?,"Call 311 to report downed/broken branches from city trees on public property (sidewalk, street, parks). DPW removes them generally within 1 business day. Limbs/branches on private property must be taken to the curb for pickup. Downed limbs from private trees may be disposed privately or as yard waste. Following severe storms, city hires contractors to help remove limbs/trees. Requests prioritized based on public safety.","DPW Training Manual 2024.docx, Downed tree limbs section",DPW
Who are the key DPW staff members?,"DPW Commissioner: Jill Lathan (x5110). Director of Operations: Eric Weisman (x5165). Director of Admin & Finance: Julie Spurr-Knight (x5107). Highway/L&L/Sanitation Superintendent: Jeff Barbiere (x5510). Highway Foreman: Jimmy Difraia (x5520). Lights & Lines Foreman: Kristopher Cali (x5607). Sanitation Senior Inspector: Charlie Roche (x5100). Report man (after hours): 617-590-3570. Buildings Superintendent: Mark Hamel (x5211). Grounds Superintendent: Ben Waldrip (x5210). Tree Warden: Breck Miller (x5213). DPW Clerks: Khileigh O'Leary (x5115/5100), Jennifer Taddia (x5119/5100).","DPW Training Manual 2024.docx, DPW Staff section",DPW
What electronics can I drop off at the DPW yard?,"Acceptable items include: desktop computers and laptops, keyboards, mouse, TVs and monitors (no broken glass), electronic cables, printers, copiers, scanners, telephones, projectors, battery backups, electronic and audio equipment, toner and ink cartridges, DVDs, CDs, VHS players, household electronics and small appliances like microwaves, toasters, radios. Drop-off weekdays 8:30AM-12PM or 1PM-3:30PM with proof of residency.","DPW Training Manual 2024.docx, Electronic Waste section",DPW
Do device retailers have recycling programs?,"Yes. Many device retailers have recycling programs for select electronics, including Apple, AT&T, Best Buy, Sprint, T-Mobile, and Verizon Wireless. The city of Somerville does not endorse any of these options, and residents should be aware that the details of each program differ. Contact retailers directly for information.","DPW Training Manual 2024.docx, Electronic Waste section",DPW
What happens if I put out unauthorized extra trash?,"Your authorization will be revoked if you put more trash than reported, items are not placed neatly, or especially if the sidewalk is blocked, resulting in a $300 ticket being issued. The city may decline authorization for unreasonable amounts and require private disposal, or ask constituent to spread collection over several weeks.","DPW Training Manual 2024.docx, Extra trash procedures section",DPW
How do I request extra trash pickup?,"Call 311 by 3:45PM the day before your collection (Friday 3:45PM for Monday collection) for authorization. Extra trash is allowed for moves, purchases/sales, or emergencies. Provide exact count and description of items. No food trash outside barrels. Generally limited to 5 bags maximum (can be increased for wider property frontage). Extra trash must be neat and leave 36-42 inches sidewalk clearance. No construction or hazardous materials.","DPW Training Manual 2024.docx, Extra trash procedures section; New Hire Training PPT.pdf",DPW
What are flex posts?,Flex posts are flexible delineator posts used for traffic management and protection. DPW replaces damaged/missing flex posts generally 1 or 2 days a month in specific neighborhoods.,"DPW Training Manual 2024.docx, Flex Posts section",DPW
How do I request a furniture move in a city building?,"Contact 311 to request furniture moves in city buildings. Moves occur on 3rd Thursday of the month. Requests submitted after 3:45PM on Tuesday cannot be scheduled for that Thursday if pickup is that same week. Moves may be done by DPW staff, custodian, or moving company.","DPW Training Manual 2024.docx, Furniture Moves section",DPW
How do I report graffiti?,"Call 311 to report graffiti on public property. Highway removes it by power washing or painting over, generally within 1 business day. Gang or hate related graffiti must also be reported to Somerville Police. Graffiti on private property is documented and inspector notifies property owners they must remove it within 10 days of written notice. In extreme instances, city may remove egregious graffiti from private property if not addressed by deadline.","DPW Training Manual 2024.docx, Graffiti section",DPW
What are park water features and when are they on?,"Grounds Division maintains water fountains, irrigation, and play shower systems in city parks. They start turning them on in spring with a goal to have all on by Memorial Day. Water features at playgrounds are generally on Memorial Day to Labor Day from 8AM-8PM. Sprinklers are on a cycle timer that shuts off water for 30 minutes three times daily (8AM-Noon, 12:30PM-4PM, 4:30PM-8PM). Water features may remain on after Labor Day if forecast continues to call for good weather.","DPW Training Manual 2024.docx, Grounds - Water Features section",DPW
What items are NOT accepted at hazardous waste events?,"Unacceptable items: ammunition/explosives/road flares, DEA-controlled drugs/narcotics, radioactive compounds, smoke/CO detectors, friable asbestos, appliances, blood/bodily fluids, syringes/hypodermic needles, tires, common household trash/recyclables, waste from non-residential locations, unknown/unidentified chemicals.","DPW Training Manual 2024.docx, Hazardous Waste section",DPW
How do I dispose of latex paint?,"Constituents may bring latex paint to HHW events. However, they should be encouraged to allow latex paint cans to dry out and dispose with regular trash as this is legally and environmentally sound. Small amounts of latex paint can be dried out safely (use kitty litter/sand to expedite), remove lids, then dispose with trash.","DPW Training Manual 2024.docx, Hazardous Waste section",DPW
Can the city install a bench or bike rack on my street?,"DPW reviews and processes requests for installations of benches, bike racks and barrels on sidewalks, parks/playgrounds, and squares on a seasonal basis. Supplies are limited so decisions are based on locations providing greatest benefit to the public. New bike rack or modification requests are reviewed by OSPCD but installed by DPW. The city stocks very limited quantity of bike racks, therefore not all requests will be approved.","DPW Training Manual 2024.docx, Installation & maintenance section",DPW
Why are mattresses and box springs recycled?,"Massachusetts Department of Environmental Protection (MassDEP) added mattresses and textiles to the list of materials banned from disposal effective November 1, 2022. Mattresses are made almost entirely of recyclable materials. They're expensive to transport, take up landfill space, are hard to compact, and can get caught in incinerator equipment. The recycling program began March 28, 2022.","DPW Training Manual 2024.docx, Mattress & Box Spring Recycling section",DPW
